city,lat,lon
北京,39.906217, 116.3912757
广东,23.1577214, 113.1589692
上海,31.2252985, 121.4890497
浙江,29.0000001, 119.9999999
江苏,33.0000001, 119.9999999
山东,35.9901518, 120.2986865
福建,26.5450001, 117.842778
广西,24.0, 109.0
辽宁,40.9975197, 122.9955469
台湾,23.9739374, 120.9820179
天津,39.1235635, 117.1980785
湖南,28.0088571, 112.5722504
河北,38.0564, 114.521
未知,24.2685, 106.187
河南,34.75392174, 113.62149292
湖北,30.6072452, 114.3777789
四川,30.673468, 104.074562
重庆,29.5585712, 106.5492822
安徽,31.8346963, 117.25263642
江西,28.0, 116.0
吉林,43.8417717, 126.5605066
香港,22.2793278, 114.1628131
山西,37.8740382, 112.4773749
新疆,42.4804953, 85.4633464
陕西,34.2740382, 108.9373749
海南,19.2000001, 109.5999999
云南,25.0580963, 102.7201494
黑龙江,45.8031412, 126.5347592
美国,39.7837304, -100.4458825
贵州,26.6539732, 106.62906958
甘肃,36.7087052, 103.8146991
内蒙古,43.2443242, 114.3251664
加拿大,61.0666922, -107.9917071
菲律宾,12.7503486, 122.7312101
马来西亚,4.5693754, 102.2656823
英国,54.7023545, -3.2765753
宁夏,38.4786455, 106.2814652
新加坡,1.2904753, 103.8520359
澳大利亚,-24.7761086, 134.755
韩国,36.638392, 127.6961188
日本,36.5748441, 139.2394179
柬埔寨,13.5066394, 104.869423
巴西,-10.3333333, -53.2
印度,22.3511148, 78.6677428
西藏,29.8556443, 90.8749807
亚太地区, 37,90
卢旺达,-1.9646631, 30.0644358
土耳其,38.9597594, 34.9249653
秘鲁,-6.8699697, -75.0458515
青海,35.40709525, 95.95211573241954
越南,13.2904027, 108.4265113
沙特阿拉伯,25.6242618, 42.3528328
德国,51.0834196, 10.4234469
乌克兰,49.4871968, 31.2718321
意大利,42.6384261, 12.674297
内蒙古,40.83,111.73
